,Name,Unique Entry ID,Total_Google_Searches,Poll_Results,Overall_Popularity
79,Chester,46bDn76rBA3hNjFZu,1850100.0,748.0,1850848.0
80,Chevre,XutRmNyAP4NogwPaR,3017100.0,2745.0,3019845.0
81,Chief,d3STnZCPAxLzrEzMd,814250.0,1530.0,815780.0
82,Chops,8t9Bc5vqJ2vbtcjf5,1565550.0,202.0,1565752.0
83,Chow,M3LhuYKZCmR5K9ckA,2815250.0,291.0,2815541.0
84,Chrissy,pYMsB8AHagkRht8RX,1621450.0,2262.0,1623712.0
85,Claude,PPFtt3uWkRQNMg2tZ,2604100.0,304.0,2604404.0
86,Claudia,xCyuFvwryTntgPgvW,2038600.0,280.0,2038880.0
87,Clay,K9s2bvx54sfHw8mZ8,19218150.0,3425.0,19221575.0
88,Cleo,XwxskQMt5rJT8EnH5,53600.0,357.0,53957.0
89,Clyde,2iBqzRfTRaddw2EXi,2881050.0,197.0,2881247.0
90,Coach,mYwCLsd8MxLwWALjQ,1878600.0,455.0,1879055.0
91,Cobb,mTNPvAaoYMmPndYnm,1929450.0,289.0,1929739.0
92,Coco,2g7sGcTtHcJeWtwNM,1970550.0,10163.0,1980713.0
93,Cole,YaWjP3XtbFqn8YPNd,3091100.0,702.0,3091802.0
94,Colton,GgsrLhmh3FL4ZiAPB,1044990.0,681.0,1045671.0
95,Cookie,YvNrsTEJsqkpdRNqL,3378250.0,4087.0,3382337.0
96,Cousteau,XPhZym7Wxu926eLD8,1951750.0,444.0,1952194.0
97,Cranston,Wbivs7b7D3NZ7q9y9,2915000.0,1268.0,2916268.0
98,Croque,SqHZjtuNfu7DAXYDE,674600.0,229.0,674829.0
99,Cube,YskkqbSnYwCh63Sru,0.0,1378.0,1378.0
100,Curlos,B6tM7dBSpcaMrAGrF,1443500.0,423.0,1443923.0
101,Curly,kRGwwKyoSLKh9g2Tk,2242500.0,186.0,2242686.0
102,Curt,w7y7v3w49B7KkDXbg,915550.0,399.0,915949.0
103,Cyd,edCh8EDStBMbyskYa,1987850.0,806.0,1988656.0
104,Cyrano,JaNDeYdAuiJCYZbAx,1768850.0,276.0,1769126.0
105,Daisy,2u92atfG2uMg2J8sS,3728400.0,2357.0,3730757.0
106,Deena,dXBazBPxXu9QGrAzM,1972950.0,448.0,1973398.0
107,Deirdre,ibnMhhdYMGHYr9RAZ,2593950.0,1709.0,2595659.0
108,Del,Eqn3ZXJtMBrEYtm7u,1086200.0,448.0,1086648.0
109,Deli,zh7aML2hmMKy5bbiR,2969000.0,774.0,2969774.0
110,Derwin,nBcDHyXheHurcisiL,611500.0,447.0,611947.0
111,Diana,QGyW9QJjjxo3jta6j,1342250.0,8044.0,1350294.0
112,Diva,FmQ9x68HncTm8vdsG,898900.0,724.0,899624.0
113,Dizzy,vthzJrsaM6Y7dykA5,1372750.0,1318.0,1374068.0
114,Dobie,YjMXvmH5eovNYShdE,3403300.0,3234.0,3406534.0
115,Doc,iasth9JRLdRvLzuQ7,1005790.0,447.0,1006237.0
116,Dom,T6YJZ7vj2X52zmDcp,4458200.0,10775.0,4468975.0
117,Dora,9Qpj5fqp4E8PvGGFw,2062950.0,373.0,2063323.0
118,Dotty,CRMJaAokcTnrXsQdp,1621650.0,1370.0,1623020.0
119,Drago,qjqzytG4LCEoong4w,3142950.0,1529.0,3144479.0
120,Drake,CKAsCWnKjfQYG8R7v,1284720.0,533.0,1285253.0
121,Drift,gf6jM4si5zSEFjf9w,6695950.0,525.0,6696475.0
122,Ed,JmHu7aFcqj9hxKupZ,1236650.0,321.0,1236971.0
123,Egbert,jRwtNxCCWuznSMCZy,1698750.0,617.0,1699367.0
124,Elise,taRZ4jRFMGPkxCZo4,1618200.0,214.0,1618414.0
125,Ellie,odt2kdswLHE2YMkQd,2867350.0,1506.0,2868856.0
126,Elmer,LcRhQqeH8u7PboJ73,2127850.0,366.0,2128216.0
127,Eloise,6QughAEZFkYZ5vKpw,687370.0,440.0,687810.0
128,Elvis,4jYpCpw9nooMZHR8s,2779850.0,627.0,2780477.0
129,Erik,BJcXu5LtRBo8DdZ2v,3156450.0,10794.0,3167244.0
130,Eugene,2XX9mSSzxEhwXMi4f,814300.0,1279.0,815579.0
131,Eunice,dbAfEFetNQpXajtch,837000.0,671.0,837671.0
132,Fang,PFvvq6NGpsRgCwg2z,1074750.0,4130.0,1078880.0
133,Fauna,kB5jGQAqkLnh8LxWy,2421950.0,11628.0,2433578.0
134,Felicity,ygF99DNm88JRXvKLi,2407950.0,1200.0,2409150.0
135,Filbert,ffo6sBoX9fkMB4bem,1809600.0,4504.0,1814104.0
136,Flip,ADkNZkrRxdSrfGFH8,1379950.0,496.0,1380446.0
137,Flo,6cB5T5yZtevY6d2jp,3057350.0,961.0,3058311.0
138,Flora,eDX52Zi7H7qifrwYm,2782050.0,4298.0,2786348.0
139,Flurry,B4cpBYrewfSK3WN6M,1942600.0,3288.0,1945888.0
140,Francine,eJZX7wDRYqatmKBKr,2630200.0,1499.0,2631699.0
141,Frank,8BgXtjz2mfGBrZwCm,1786950.0,253.0,1787203.0
142,Freckles,AcYKxih6FpRRyZDs4,1500350.0,879.0,1501229.0
143,Freya,qyoMuqvPA4Wqp3Ybn,2888900.0,1367.0,2890267.0
144,Friga,uk9DGWqzxRT4TEJbm,2042000.0,276.0,2042276.0
145,Frita,79EahCMHHzp3BwH7x,934650.0,924.0,935574.0
146,Frobert,YXidGR87Fi7mov7Po,2364600.0,377.0,2364977.0
147,Fuchsia,Z98WrodjQxXZAACLA,2385250.0,1730.0,2386980.0
148,Gabi,WC97mFMgiZixDfcRZ,0.0,337.0,337.0
149,Gala,84NHBxaLCDPy48Xpx,3805350.0,1093.0,3806443.0
150,Gaston,5TXosg4PLkG4jZ3AD,1062600.0,529.0,1063129.0
151,Gayle,HY5swi9u3np5LyR8Q,1805250.0,1884.0,1807134.0
152,Genji,zFPwakzpAr8fmL4FM,2902650.0,3154.0,2905804.0
153,Gigi,QX93pNfztrLZvLxdC,1945950.0,227.0,1946177.0
154,Gladys,ZSLn6jgRc5W4oZA4f,648750.0,826.0,649576.0
155,Gloria,7iiegnbmMRDeDaC3t,1914000.0,227.0,1914227.0
156,Goldie,RdpZtkYzLeivKyx7Z,0.0,4693.0,4693.0
157,Gonzo,SFkpDu8Bxgot4ShcP,3879020.0,701.0,3879721.0
158,Goose,5iSyoeFknLsoYManw,501650.0,570.0,502220.0
159,Graham,D86CPtiT7ssiFexPE,1903850.0,570.0,1904420.0
160,Greta,jKZuhKCACcaqpDCNQ,2440800.0,185.0,2440985.0
161,Grizzly,ePDrk4wsbfZAu4rA3,772100.0,532.0,772632.0
162,Groucho,QC3CiJqhhcm9WpAho,1818400.0,394.0,1818794.0
163,Gruff,oTGj76upYyWRcG34C,2008700.0,299.0,2008999.0
164,Gwen,jFBkwJJrXK4mJ2giR,437860.0,206.0,438066.0
165,Hamlet,LA2HHrtZ6beHgmKpL,1110350.0,1676.0,1112026.0
166,Hamphrey,bp3ns8FmZnYBL7CqD,1886900.0,577.0,1887477.0
167,Hans,rAgKSRJPoazkBPS5d,1502750.0,429.0,1503179.0
168,Harry,dtAkeJzvhPfGXH7pk,1333720.0,175.0,1333895.0
169,Hazel,PfTkvEmpjE2HR3SeD,2149950.0,1604.0,2151554.0
170,Henry,RNats2ap2rGvbdcKn,1637250.0,1588.0,1638838.0
171,Hippeux,WjAPWpCx6bTjKiZjw,2365000.0,383.0,2365383.0
172,Hopkins,EeTwHAQeWyShyg7pm,838760.0,638.0,839398.0
173,Hopper,FP3bdBM2RSjWTXYHK,1466550.0,607.0,1467157.0
174,Hornsby,KuDi35nStc6mtd3F8,1507300.0,2216.0,1509516.0
175,Huck,KWx6zRZpPoaQy2PMD,2036750.0,332.0,2037082.0
176,Hugh,Ko7gAjWQAY3PY5DLi,2335550.0,567.0,2336117.0
177,Iggly,qZtYZEyzeZv2qhoJD,2276100.0,518.0,2276618.0
178,Ike,BvhNkdNxf2kJue7kp,2314800.0,250.0,2315050.0
179,Jacob,HBYP4stJTe3eGEepn,2305350.0,482.0,2305832.0
180,Jacques,sXDhuuCThhtuQRDAe,2210400.0,654.0,2211054.0
181,Jambette,9bG8kLsEtaodApHoX,1846400.0,345.0,1846745.0
182,Jay,zv7EfaEb2TnPwmQxe,295590.0,425.0,296015.0
183,Jeremiah,Z9mmrgQ578rPeLdjp,1942350.0,1192.0,1943542.0
184,Jitters,TksYZm8hEYAeDWD2X,809650.0,532.0,810182.0
185,Joey,EkpmSi299YR9BP96Y,870100.0,1118.0,871218.0
186,Judy,nEbMBNS4EztR8Ysxv,4686500.0,14741.0,4701241.0
187,Julia,z8F5zPavZfhe6xqEi,589850.0,1379.0,591229.0
188,Julian,CqhXFKr8hdfYSYpRA,4472800.0,5561.0,4478361.0
189,June,kYaqSE3C2y7EYSXfi,0.0,1684.0,1684.0
190,Kabuki,d2DY8aRv5AfFtkneg,4761450.0,3012.0,4764462.0
191,Katt,6rE8fTRLqKCERS4dQ,2301050.0,2224.0,2303274.0
192,Keaton,WRueK9fukhKgMrWZa,1988400.0,448.0,1988848.0
193,Ken,gQZ4xwZeRvqmswoGY,567600.0,593.0,568193.0
194,Ketchup,CaQE3xJ4A7tgQXDMW,2218350.0,7354.0,2225704.0
195,Kevin,fGznAwhaxGN66K38Q,390630.0,356.0,390986.0
196,Kid Cat,Jd6z54x98v4uJhubB,109950.0,2669.0,112619.0
197,Kidd,Pv4qNLnQ4NquvddfQ,123930.0,1337.0,125267.0
198,Kiki,QTwru2TFs99vCznLg,1176550.0,3688.0,1180238.0
199,Kitt,jjReK7y42rnNZmQe6,813800.0,412.0,814212.0
200,Kitty,E6MnPthbMdNSvhHE5,3888800.0,334.0,3889134.0
201,Klaus,cFgAWnZ4nhq7DfrN7,1427300.0,504.0,1427804.0
202,Knox,25GGGSHzwEnKmepJk,773250.0,376.0,773626.0
203,Kody,j9pPANZ9zsm6Mobh2,414450.0,330.0,414780.0
204,Kyle,Q68JosFG2FvzG7QC3,684450.0,2184.0,686634.0
205,Leonardo,bZqAHvDsp82Ptify8,3097850.0,348.0,3098198.0
206,Leopold,nn3GdKz434cBryvyC,2538750.0,407.0,2539157.0
207,Lily,CQG32Qp7hhepeaRbg,0.0,3665.0,3665.0
208,Limberg,BnXXdXegMXE9HmZiy,80.0,179.0,259.0
209,Lionel,EQYQEL4crTYEN9yJs,925800.0,502.0,926302.0
210,Lobo,9QsHyDimk75LPvBsn,2017100.0,1097.0,2018197.0
211,Lolly,ucvTsRXewrZsFj64Y,2231450.0,9243.0,2240693.0
212,Lopez,wBJRdKXMHcPyHDPEj,595300.0,1334.0,596634.0
213,Louie,emwaesnBa9EmWvW89,366750.0,244.0,366994.0
214,Lucha,se8G8LxivnMhgBiRE,710470.0,308.0,710778.0
215,Lucky,WtvwKvChcpgZ4WcQB,1980350.0,9208.0,1989558.0
216,Lucy,8FpMvE2W6YJtmTpiQ,1362860.0,399.0,1363259.0
217,Lyman,cnByupc7McZQg8sNJ,0.0,1420.0,1420.0
218,Mac,bLyixhvrCHgBYzvoX,1182800.0,714.0,1183514.0
219,Maddie,ebHEDLT4WnnnPtDzK,3794550.0,1051.0,3795601.0
220,Maelle,bHTDLovALeQz9PK4z,1353250.0,209.0,1353459.0
221,Maggie,ByLM9r2q7mRAMbgXs,903050.0,323.0,903373.0
222,Mallary,jhXJGTWpk3ycr6kZC,2090150.0,193.0,2090343.0
223,Maple,xgPhy4TnDmnzSkZ6o,1764100.0,8594.0,1772694.0
224,Marcel,63FsmgrS7QPpFvL3N,1843600.0,740.0,1844340.0
225,Marcie,mSJuJRK54zTu3BkHr,1894150.0,422.0,1894572.0
226,Margie,rnFzZ3Z4gFAv6ouqG,1716200.0,854.0,1717054.0
227,Marina,BQCu2GxBFFTuigDAY,3050500.0,13129.0,3063629.0
228,Marshal,ZZJJbE5zFrcDXfLEF,1136850.0,29787.0,1166637.0
229,Mathilda,GSsfXWFSF3FEdbcjA,2065700.0,396.0,2066096.0
230,Megan,tgsKz4BX3wxFRFrFZ,2785250.0,1085.0,2786335.0
231,Melba,sLBs68aveqtjT8HZJ,1840250.0,3571.0,1843821.0
232,Merengue,qxaecyD6f6aHuNZKK,2418400.0,10971.0,2429371.0
233,Merry,uhd4aEuBudwu9pM6E,1512650.0,10131.0,1522781.0
234,Midge,WSnecxx3DREYtZ3p3,1738200.0,675.0,1738875.0
235,Mint,TgwEuBB4kt96EXAvt,0.0,915.0,915.0
236,Mira,ycquvbgfbCzktuLvn,1901200.0,1076.0,1902276.0
237,Miranda,9AE7bEWmthdc7kZ4m,3017750.0,235.0,3017985.0
238,Mitzi,4DpkbYXeoySwonvkS,2101100.0,1650.0,2102750.0
239,Moe,EYRuj39J5cS5eYuPD,1082800.0,786.0,1083586.0
240,Molly,4RLK74MDFhcXAQeuL,1379250.0,9204.0,1388454.0
241,Monique,6rhSBCp2M4wcM9cRG,606090.0,345.0,606435.0
242,Monty,AB2WWajw4nPsxsQ5h,2149900.0,216.0,2150116.0
243,Moose,bqireWGDZg56QP8JF,1060700.0,191.0,1060891.0
244,Mott,upZ67GQyTzKPGCLm8,1930950.0,210.0,1931160.0
245,Muffy,BMbfDZTTqMr8T4Jvt,1954750.0,2295.0,1957045.0
246,Murphy,Nw4ojqKpHxBQfEqqo,1253200.0,633.0,1253833.0
247,Nan,oGFWxL6p7g9Hq5LWK,2003350.0,1171.0,2004521.0
248,Nana,z95tvdzwWsxjXbpqP,935300.0,829.0,936129.0
249,Naomi,3EXPYiDinngndhDng,2089850.0,237.0,2090087.0
250,Nate,h2nAg5RGkR7NEnSQq,2224700.0,542.0,2225242.0
251,Nibbles,Moh8bkfxWaxEa97mG,1154250.0,615.0,1154865.0
252,Norma,fwgBojtt5KTvk3TL5,2523900.0,762.0,2524662.0
253,O'Hare,WDB4w6DdNpdhCvEuj,0.0,847.0,847.0
254,Octavian,nLsc5geQY78JR7j4S,2833900.0,4434.0,2838334.0
255,Olaf,ar73BhCacgwhTNYnX,1943800.0,423.0,1944223.0
256,Olive,7ZynzrsbeH5fMqvLu,12937100.0,751.0,12937851.0
257,Olivia,9TaBZpKSgb9nEWwtH,1413350.0,1442.0,1414792.0
258,Opal,FYopCfP6LEKMEAP7F,1447110.0,438.0,1447548.0
259,Ozzie,jn3GZEfXoGm3ahwd3,1651150.0,1659.0,1652809.0
260,Pancetti,bjvvbcuiiN9pYiZA9,1954750.0,194.0,1954944.0
261,Pango,dz29mEXmHc8mM3q7R,2651310.0,437.0,2651747.0
262,Paolo,jH9AH2BeLRwtsFwHQ,2196800.0,362.0,2197162.0
263,Papi,miKjvBKFawhzBB8rW,620650.0,1231.0,621881.0
264,Pashmina,hftL8Ep8ffr3PWTuE,4165000.0,2954.0,4167954.0
265,Pate,DHBvGmtvAKgcEQiLx,1546600.0,622.0,1547222.0
266,Patty,WwWCGiveKwyuntnBe,2597650.0,605.0,2598255.0
267,Paula,mt4oJ6k5CJTCGJXAZ,581790.0,216.0,582006.0
268,Peaches,SRuoS7z66df8wdynd,1691860.0,250.0,1692110.0
269,Peanut,ZcdcgJXwiH4rJg2JK,957550.0,1766.0,959316.0
270,Pecan,qJmNiqamwRRxHc4fY,2142050.0,745.0,2142795.0
271,Peck,TC9QnMpcjfskBGzwB,728450.0,238.0,728688.0
272,Peewee,HAeZAgW5pywjmCBeu,826800.0,265.0,827065.0
273,Peggy,YReGwLNQoegR9PhZx,583800.0,284.0,584084.0
274,Pekoe,QvWvWxjFtNLCnZES5,3381300.0,3155.0,3384455.0
275,Penelope,L9mYm8tvKg32G85cv,2257900.0,340.0,2258240.0
276,Phil,rCHTjrbTz7pejGT8J,2702900.0,720.0,2703620.0
277,Phoebe,HYJxoDdCoLS7uPdz9,2198800.0,2149.0,2200949.0
