,Villagers,Tally
282,Winnie,425.0
283,Curlos,423.0
284,Olaf,423.0
285,Marcie,422.0
286,Kitt,412.0
287,Leopold,407.0
288,Tucker,406.0
289,Lucy,399.0
290,Curt,399.0
291,Mathilda,396.0
292,Tammi,396.0
293,Cally,395.0
294,Sylvia,394.0
295,Ava,394.0
296,Groucho,394.0
297,Tad,392.0
298,Puck,388.0
299,Big Top,385.0
300,Hippeux,383.0
301,Vladimir,382.0
302,Anicotti,381.0
303,Frobert,377.0
304,Knox,376.0
305,Benedict,373.0
306,Dora,373.0
307,Elmer,366.0
308,Angus,363.0
309,Victoria,362.0
310,Paolo,362.0
311,Simon,360.0
312,Cleo,357.0
313,Kevin,356.0
314,Leonardo,348.0
315,Marlo,345.0
316,Monique,345.0
317,Jambette,345.0
318,Penelope,340.0
319,Gabi,337.0
320,Kitty,334.0
321,Rowan,333.0
322,Huck,332.0
323,Kody,330.0
324,Rocket,329.0
325,Maggie,323.0
326,Ed,321.0
327,Chelsea,320.0
328,Vic,313.0
329,Spork,311.0
330,Soleil,311.0
331,Bud,310.0
332,Lucha,308.0
333,Baabara,305.0
334,Claude,304.0
335,Gruff,299.0
336,Boris,294.0
337,Bettina,293.0
338,Chow,291.0
339,Carrie,291.0
340,Rasher,290.0
341,Cobb,289.0
342,Peggy,284.0
343,Claudia,280.0
344,Cyrano,276.0
345,Friga,276.0
346,Charlise,275.0
347,Peewee,265.0
348,Annalise,263.0
349,Astrid,258.0
350,Timbra,256.0
351,Frank,253.0
352,Alli,253.0
353,Cesar,253.0
354,Peaches,250.0
355,Ike,250.0
356,Rory,246.0
357,Louie,244.0
358,Broffina,243.0
359,Samson,242.0
360,Cashmere,238.0
361,Peck,238.0
362,Naomi,237.0
363,Truffles,236.0
364,Miranda,235.0
365,Velma,232.0
366,Buzz,230.0
367,Croque,229.0
368,Tiansheng,228.0
369,Robin,228.0
370,Gloria,227.0
371,Gigi,227.0
372,T-Bone,227.0
373,Rooney,220.0
374,Monty,216.0
375,Paula,216.0
376,Elise,214.0
377,Candi,213.0
378,Mott,210.0
